Subject,Number,Description,Credit Hours
PHYS,487,"Continuation of PHYS 486. Identical particles, spectral hyperfine structure, magnetic properties of matter, atomic spectroscopy of inner electrons, high-energy photon effects, molecular binding and spectra, emission and absorption of light, and symmetry principles. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 486.",4 hours.
PHYS,498,Subject offerings of new and developing areas of knowledge in physics intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary.,1 TO 4 hours.
PHYS,504,"Single-particle distribution functions; classical and quantum mechanical systems, Boltzmann equation, virial theorem, and equations of state for gases; formal theory: ensembles, identical particles, thermodynamics of simple systems, and distribution functions; nonequilibrium problems; conservation laws and hydrodynamic equations, sound waves, and transport coefficients; plasmas, normal Fermi fluid, superfluids, and systems with internal degrees of freedom. Prerequisite: PHYS 427 and PHYS 486.",4 hours.
PHYS,508,"Core techniques of mathematical physics widely used in the physical sciences. Calculus of variations and its applications; partial differential equations of mathematical physics (including classification and boundary conditions); separation of variables, series solutions of ordinary differential equations and Sturm-Liouville eigenproblems; Legendre polynomials, spherical harmonics, Bessel functions and their applications; normal mode eigenproblems (including the wave and diffusion equations); inhomogeneous ordinary differential equations (including variation of parameters); inhomogeneous partial differential equations and Green functions; potential theory; integral equations (including Fredholm theory). Prerequisite: MATH 285.",4 hours.
PHYS,513,"Experimental and theoretical fundamentals of quantum information, using nonclassical features of quantum physics (wave-particle duality, superposition, and entanglement) to surpass the information-processing capabilities of classical systems. Underlying fundamental quantum phenomena, including tests of nonlocality, quantum erasers, the quantum Zeno effect, squeezed light, multi-particle interference, state transformations of the Bloch sphere, and decoherence; quantum cryptography and teleportation; quantum information theory; quantum computation algorithms and techniques for error correction; experimental ""qubit"" systems. Prerequisite: Recommended: PHYS 580.",4 hours.
PHYS,515,"Systematic introduction to Einstein's theory, with emphasis on modern coordinate-free methods of computation. Review of special relativity, modern differential geometry, foundations of general relativity, laws of physics in the presence of a gravitational field, linearized theory, and experimental tests of gravitation theories. Same as ASTR 515. Prerequisite: PHYS 436.",4 hours.
PHYS,560,"Crystalline perfection, free-electron gas, screening, plasma oscillations, and dielectric response; Bloch electrons, Brillouin zones, and band structure; semiconductors, intrinsic and extrinsic, with applications; phonons, elasticity, and anharmonicity; ferromagnetism and second-order phase transitions; superconductivity. Prerequisite: PHYS 427 and PHYS 580.",4 hours.
PHYS,563,"Phenomenology of phase transitions, scaling, critical behavior, and multi-criticality; Landau theory of phase transitions; renormalization group methods, including lattice models and epsilon-expansion; numerical methods; critical dynamics; selected additional topics. Prerequisite: PHYS 504.",4 hours.
PHYS,569,"Consequences of broken symmetry in condensed matter, the emergence of novel ground states, and the nature of the excitations that arise. Examination of specific systems such as superconductivity, superfluidity, Bose-Einstein condensates, the quantum Hall states, liquid crystals, biological systems and patterns in Rayleigh-Benard convection. Prerequisite: PHYS 504 and PHYS 580.",4 hours.
PHYS,580,"Second course in quantum mechanics. Operators, state vectors, and the formal structure of quantum theory; operator treatments of simple systems; angular momentum and vector addition coefficients; stationary state perturbation theory; introduction to scattering theory for particles without spin, partial wave analysis, and Born approximation; examples taken from atomic, nuclear, and elementary particle physics. Prerequisite: PHYS 485 or PHYS 487.",4 hours.
PHYS,581,"Spin and identical particles, simple many-particle systems and elements of second-quantization theory; time-dependent processes, radiative transitions, and quantization of the electromagnetic field; scattering of particles with spin; polarization; introduction to the Klein-Gordon and Dirac equations and properties of simple relativistic systems. Prerequisite: PHYS 580.",4 hours.
PHYS,582,"Standard techniques of field theory as used by experimenters and theorists; relativistic quantum mechanics of a single particle; Lagrangian field theories, perturbation theory, and calculation of lowest-order processes; introduction to Feynman diagrams and higher order processes; examples taken from quantum electrodynamics, solid-state and elementary particle physics, and many-body theory. Prerequisite: PHYS 581.",4 hours.
PHYS,596,Introduction to research in the Department of Physics. Advice on choosing a field of research and finding a research advisor. Faculty-presented overviews of the major areas of research available in the Physics Department. General discussions on instructional topics as well as ethics in teaching and sciences.,1 hours.
